cohort,cohort_type,opponent_archetype,map_seed,opening_family,sample_size,win_rate,win_ci_lo,win_ci_hi,mean_score_delta,delta_ci_lo,delta_ci_hi,search_conversion,search_ci_lo,search_ci_hi,timeout_pressure_rate,catastrophic_loss_rate,early_delta_change,mid_delta_change,late_delta_change,threshold_-5_onset_rate,threshold_-5_median_turn,threshold_-10_onset_rate,threshold_-10_median_turn,threshold_-15_onset_rate,threshold_-15_median_turn,top_transition_gap,mean_max_drawdown,mean_time_in_deficit_-5,recovery_rate_after_cross_-5,mean_time_in_deficit_-10,recovery_rate_after_cross_-10,mean_time_in_deficit_-15,recovery_rate_after_cross_-15,search_conversion_delta,search_conversion_delta_ci_lo,search_conversion_delta_ci_hi,actions
folder:yolanda_prime_v3_DO,global,,,,92,0.5271739130434783,0.42391304347826086,0.6304347826086957,0.20652173913043478,-2.0543478260869565,2.25,0.5384615384615384,0.5107271362051313,0.5659598823441803,1.0,0.07608695652173914,-3.441860465116279,0.813953488372093,-6.837209302325581,0.9534883720930233,17.0,0.6511627906976745,36.0,0.37209302325581395,53.5,0.02062136627906977,14.75,16.33695652173913,0.9508196721311475,5.054347826086956,0.84375,1.815217391304348,0.75,0.08526694150984426,0.036183407042755356,0.13274180920236056,Timeout pressure is elevated; tighten time budget caps and reduce expensive branches. | Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -3.44); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=other,map_seed=other,opening_family=other",segment,other,other,other,63,0.5476190476190477,0.42063492063492064,0.6666666666666666,0.3492063492063492,-2.365079365079365,3.015873015873016,0.5321100917431193,0.4989231810939672,0.5650153210278775,1.0,0.07936507936507936,-2.9642857142857144,1.7857142857142858,-7.714285714285714,0.9285714285714286,15.5,0.6428571428571429,34.0,0.35714285714285715,55.0,0.02993697478991597,14.968253968253968,15.142857142857142,0.9523809523809523,4.301587301587301,0.9090909090909091,1.0793650793650793,0.7,0.09538424915897831,0.03251997583174093,0.15346390630904055,Timeout pressure is elevated; tighten time budget caps and reduce expensive branches. | Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -2.96); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=prime_heavy,map_seed=map:7535860b,opening_family=prime_chain",segment,prime_heavy,map:7535860b,prime_chain,4,0.75,0.25,1.0,6.5,-3.5,13.5,0.7045454545454546,0.5577952061434273,0.818446391127567,1.0,0.0,-4.0,4.0,-8.0,1.0,28.0,0.0,0.0,0.0,0.0,0.07500000000000001,10.0,6.25,1.0,0.0,0.0,0.0,0.0,-0.00448717948717936,-0.05256410256410249,0.06923076923076932,Early phase collapses in losses (mean delta change -4.00); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=prime_heavy,map_seed=map:4eab2971,opening_family=prime_chain",segment,prime_heavy,map:4eab2971,prime_chain,4,0.25,0.0,0.75,-7.25,-17.0,4.75,0.43103448275862066,0.3118160080083492,0.5588212329427257,1.0,0.25,-9.0,-1.0,-3.0,1.0,12.0,1.0,16.0,0.6666666666666666,45.5,0.049999999999999996,20.0,34.25,0.75,21.75,0.6666666666666666,16.0,0.5,-0.18650793650793646,-0.38095238095238093,-0.047619047619047616,"Early phase collapses in losses (mean delta change -9.00); tighten opening move safety and reduce high-variance branches in first third. | Transition `search->prime` is loss-heavier (gap 0.050); revisit policy thresholds governing this move switch. | Deficit onset below -10 happens early in losses (rate 1.00, median turn 16.0); increase early recovery bias and defensive search discipline."
"segment:opponent_archetype=prime_heavy,map_seed=map:cca08ca8,opening_family=prime_chain",segment,prime_heavy,map:cca08ca8,prime_chain,4,0.5,0.0,1.0,-1.75,-16.75,13.0,0.52,0.3851151225880844,0.6520308760449429,1.0,0.25,-1.5,-4.5,-8.0,1.0,23.0,0.5,49.0,0.5,52.0,0.037500000000000006,16.0,18.5,1.0,8.0,0.0,7.0,1.0,-0.1384615384615384,-0.282051282051282,0.00512820512820511,Transition `prime->plain` is loss-heavier (gap 0.038); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:d9b16026,opening_family=prime_chain",segment,prime_heavy,map:d9b16026,prime_chain,4,0.5,0.0,1.0,-2.25,-10.5,6.0,0.5869565217391305,0.44339242387017885,0.7171160670289899,1.0,0.0,-5.5,-1.0,-4.0,1.0,17.0,1.0,29.5,0.5,44.0,0.07500000000000001,13.25,27.0,1.0,8.25,1.0,0.75,1.0,0.25990675990675993,0.20512820512820507,0.31468531468531474,Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -5.50); tighten opening move safety and reduce high-variance branches in first third. | Transition `prime->prime` is loss-heavier (gap 0.075); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:28743561,opening_family=prime_chain",segment,prime_heavy,map:28743561,prime_chain,4,0.25,0.0,0.75,-3.75,-11.0,7.75,0.5490196078431373,0.41384471541649237,0.6773269498886776,1.0,0.0,-3.0,2.3333333333333335,-8.666666666666666,1.0,46.0,0.3333333333333333,24.0,0.3333333333333333,65.0,0.0625,16.25,20.75,1.0,5.25,1.0,0.5,1.0,0.19761904761904758,0.18095238095238098,0.2142857142857143,Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -3.00); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=prime_heavy,map_seed=map:2ac63c4b,opening_family=prime_chain",segment,prime_heavy,map:2ac63c4b,prime_chain,3,0.3333333333333333,0.0,1.0,-4.333333333333333,-12.0,5.0,0.6111111111111112,0.4486417029674347,0.7521534458217705,1.0,0.0,-6.0,3.5,-6.5,1.0,31.0,0.5,80.0,0.0,0.0,0.09375,12.333333333333334,12.666666666666666,1.0,0.3333333333333333,0.0,0.0,0.0,0.02083333333333326,0.0,0.04166666666666663,Early phase collapses in losses (mean delta change -6.00); tighten opening move safety and reduce high-variance branches in first third. | Transition `prime->prime` is loss-heavier (gap 0.094); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:3f80538d,opening_family=prime_chain",segment,prime_heavy,map:3f80538d,prime_chain,3,0.3333333333333333,0.0,1.0,-0.6666666666666666,-8.0,14.0,0.5490196078431373,0.41384471541649237,0.6773269498886776,1.0,0.0,0.5,-9.5,1.0,1.0,22.0,1.0,41.0,0.5,55.0,0.09999999999999999,16.333333333333332,28.0,1.0,6.666666666666667,1.0,0.6666666666666666,1.0,0.26315789473684215,0.25,0.27631578947368424,Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing.
