cohort,cohort_type,opponent_archetype,map_seed,opening_family,sample_size,win_rate,win_ci_lo,win_ci_hi,mean_score_delta,delta_ci_lo,delta_ci_hi,search_conversion,search_ci_lo,search_ci_hi,timeout_pressure_rate,catastrophic_loss_rate,early_delta_change,mid_delta_change,late_delta_change,threshold_-5_onset_rate,threshold_-5_median_turn,threshold_-10_onset_rate,threshold_-10_median_turn,threshold_-15_onset_rate,threshold_-15_median_turn,top_transition_gap,mean_max_drawdown,mean_time_in_deficit_-5,recovery_rate_after_cross_-5,mean_time_in_deficit_-10,recovery_rate_after_cross_-10,mean_time_in_deficit_-15,recovery_rate_after_cross_-15,search_conversion_delta,search_conversion_delta_ci_lo,search_conversion_delta_ci_hi,actions
folder:yolanda_prime_v4_7_baseline,global,,,,106,0.5471698113207547,0.45754716981132076,0.6415094339622641,0.9245283018867925,-1.8018867924528301,3.3962264150943398,0.5107962213225371,0.48535045780360453,0.5361861582125307,0.09433962264150944,0.11320754716981132,-2.5,-3.1739130434782608,-5.434782608695652,0.9565217391304348,23.0,0.8043478260869565,40.0,0.45652173913043476,57.0,0.017517468944099376,15.80188679245283,16.632075471698112,0.8970588235294118,7.660377358490566,0.926829268292683,2.5849056603773586,0.7272727272727273,0.034987703488739474,-0.023859513914594788,0.08593838677568821,Early phase collapses in losses (mean delta change -2.50); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=other,map_seed=other,opening_family=other",segment,other,other,other,74,0.5405405405405406,0.42567567567567566,0.6418918918918919,0.6216216216216216,-2.7567567567567566,3.6216216216216215,0.5306718597857838,0.5000916228079094,0.5610234893489922,0.12162162162162163,0.12162162162162163,-3.21875,-3.8125,-4.84375,1.0,19.0,0.875,37.0,0.46875,57.0,0.019983552631578944,15.972972972972974,17.27027027027027,0.8958333333333334,8.675675675675675,0.9354838709677419,3.1216216216216215,0.8125,0.06377959266101896,-0.0013541272892212408,0.13122018187565798,Early phase collapses in losses (mean delta change -3.22); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=prime_heavy,map_seed=map:32c003b7,opening_family=prime_chain",segment,prime_heavy,map:32c003b7,prime_chain,6,0.5,0.16666666666666666,0.8333333333333334,2.3333333333333335,-5.833333333333333,11.833333333333334,0.5294117647058824,0.424339860632142,0.6319400802964319,0.16666666666666666,0.0,1.3333333333333333,-1.3333333333333333,-7.0,1.0,64.0,0.6666666666666666,57.0,0.0,0.0,0.037500000000000006,15.0,8.0,0.75,1.5,1.0,0.0,0.0,-0.034848484848484684,-0.2222222222222221,0.1136363636363637,Transition `plain->search` is loss-heavier (gap 0.038); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:124ef1c4,opening_family=prime_chain",segment,prime_heavy,map:124ef1c4,prime_chain,4,0.5,0.0,1.0,2.75,-4.25,13.0,0.5660377358490566,0.4326511497976876,0.6904980930103964,0.0,0.0,3.5,2.0,-9.5,0.5,70.0,0.0,0.0,0.0,0.0,0.018750000000000003,11.75,3.0,1.0,0.0,0.0,0.0,0.0,-0.1494318181818181,-0.23636363636363633,-0.0625,
"segment:opponent_archetype=prime_heavy,map_seed=map:a11aba4a,opening_family=prime_chain",segment,prime_heavy,map:a11aba4a,prime_chain,4,1.0,1.0,1.0,5.25,1.75,10.5,0.4067796610169492,0.29088843022555855,0.534068286344357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184375,12.5,9.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
"segment:opponent_archetype=prime_heavy,map_seed=map:cb448f6d,opening_family=prime_chain",segment,prime_heavy,map:cb448f6d,prime_chain,3,0.3333333333333333,0.0,1.0,-5.0,-20.0,22.0,0.3541666666666667,0.23433457112685735,0.4956120354593591,0.0,0.6666666666666666,1.5,-8.0,-12.0,1.0,25.5,1.0,57.5,1.0,72.0,0.06250000000000001,19.333333333333332,29.0,1.0,14.0,0.5,6.0,0.0,-0.09285714285714286,-0.12857142857142856,-0.05714285714285716,Transition `plain->prime` is loss-heavier (gap 0.063); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:82ef209f,opening_family=prime_chain",segment,prime_heavy,map:82ef209f,prime_chain,3,0.3333333333333333,0.0,1.0,-7.333333333333333,-19.0,9.0,0.45,0.30705075280944694,0.6017117011155924,0.0,0.3333333333333333,-2.5,-5.5,-7.5,1.0,31.0,1.0,54.0,1.0,62.0,0.075,21.666666666666668,23.333333333333332,1.0,17.333333333333332,1.0,7.0,0.5,0.29999999999999993,0.19999999999999996,0.39999999999999997,Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -2.50); tighten opening move safety and reduce high-variance branches in first third. | Transition `prime->search` is loss-heavier (gap 0.075); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:7fb4f3df,opening_family=prime_chain",segment,prime_heavy,map:7fb4f3df,prime_chain,3,0.6666666666666666,0.0,1.0,4.666666666666667,-3.0,12.0,0.5,0.34474067624730526,0.6552593237526947,0.0,0.0,7.0,-1.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,17.666666666666668,3.3333333333333335,1.0,0.0,0.0,0.0,0.0,-0.046398046398046344,-0.10989010989010989,0.017094017094017144,
"segment:opponent_archetype=prime_heavy,map_seed=map:0e3899f9,opening_family=prime_chain",segment,prime_heavy,map:0e3899f9,prime_chain,3,0.6666666666666666,0.0,1.0,3.0,-7.0,11.0,0.5121951219512195,0.36484259315865186,0.657458127600643,0.0,0.0,-15.0,7.0,1.0,1.0,18.0,1.0,22.0,1.0,24.0,0.0875,15.333333333333334,22.666666666666668,1.0,6.333333333333333,1.0,1.0,1.0,-0.02941176470588236,-0.11274509803921567,0.05392156862745101,Early phase collapses in losses (mean delta change -15.00); tighten opening move safety and reduce high-variance branches in first third.
