cohort,cohort_type,opponent_archetype,map_seed,opening_family,sample_size,win_rate,win_ci_lo,win_ci_hi,mean_score_delta,delta_ci_lo,delta_ci_hi,search_conversion,search_ci_lo,search_ci_hi,timeout_pressure_rate,catastrophic_loss_rate,early_delta_change,mid_delta_change,late_delta_change,threshold_-5_onset_rate,threshold_-5_median_turn,threshold_-10_onset_rate,threshold_-10_median_turn,threshold_-15_onset_rate,threshold_-15_median_turn,top_transition_gap,mean_max_drawdown,mean_time_in_deficit_-5,recovery_rate_after_cross_-5,mean_time_in_deficit_-10,recovery_rate_after_cross_-10,mean_time_in_deficit_-15,recovery_rate_after_cross_-15,search_conversion_delta,search_conversion_delta_ci_lo,search_conversion_delta_ci_hi,actions
folder:yolanda_prime_v1_2,global,,,,91,0.24175824175824176,0.15384615384615385,0.31868131868131866,-10.076923076923077,-13.54945054945055,-7.318681318681318,0.5313620071684588,0.502026715500919,0.5604821250350998,0.0,0.3516483516483517,-1.6666666666666667,-5.942028985507246,-8.695652173913043,1.0,26.0,0.7391304347826086,44.0,0.5507246376811594,46.5,0.016559617918313577,21.571428571428573,26.65934065934066,0.8205128205128205,15.67032967032967,0.6792452830188679,9.351648351648352,0.6052631578947368,0.10203634560057173,0.007692058249150202,0.19508393608419305,Negative score delta is persistent; prioritize policy weight retuning and deeper lookahead checks. | Catastrophic loss rate is high; add guardrail heuristics for losing states. | Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing.
"segment:opponent_archetype=other,map_seed=other,opening_family=other",segment,other,other,other,66,0.2878787878787879,0.18181818181818182,0.3939393939393939,-9.727272727272727,-13.530303030303031,-5.984848484848484,0.5449871465295629,0.5098592755234514,0.5796729263957097,0.0,0.3333333333333333,-1.9787234042553192,-6.212765957446808,-8.957446808510639,1.0,23.0,0.7446808510638298,43.0,0.574468085106383,44.0,0.01830907054871221,21.424242424242426,25.848484848484848,0.8703703703703703,15.015151515151516,0.7027027027027027,9.742424242424242,0.5555555555555556,0.13249098783072166,0.05205012090428074,0.21618077238178024,Negative score delta is persistent; prioritize policy weight retuning and deeper lookahead checks. | Catastrophic loss rate is high; add guardrail heuristics for losing states. | Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing.
"segment:opponent_archetype=prime_heavy,map_seed=map:3d17ebed,opening_family=prime_chain",segment,prime_heavy,map:3d17ebed,prime_chain,4,0.5,0.0,1.0,1.75,-16.0,19.5,0.42105263157894735,0.3018739975305186,0.5502008985931862,0.0,0.25,4.0,-7.0,-13.0,1.0,38.5,1.0,61.0,0.5,76.0,0.05000000000000002,18.25,15.75,1.0,5.25,0.5,1.25,0.0,-0.19444444444444453,-0.38888888888888895,0.0,
"segment:opponent_archetype=prime_heavy,map_seed=map:34f8da3b,opening_family=prime_chain",segment,prime_heavy,map:34f8da3b,prime_chain,3,0.0,0.0,0.0,-9.0,-18.0,-1.0,0.5,0.35831521095931473,0.6416847890406853,0.0,0.3333333333333333,-2.6666666666666665,-4.333333333333333,-2.0,1.0,36.0,0.3333333333333333,38.0,0.3333333333333333,49.0,0.21666666666666667,17.666666666666668,26.0,0.6666666666666666,14.0,1.0,5.666666666666667,1.0,0.0,0.0,0.0,Losses over-index on PRIME turns; reduce over-priming in trailing states and shift budget to SEARCH/CARPET opportunities. | Early phase collapses in losses (mean delta change -2.67); tighten opening move safety and reduce high-variance branches in first third. | Transition `prime->prime` is loss-heavier (gap 0.217); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:2e61c70c,opening_family=prime_chain",segment,prime_heavy,map:2e61c70c,prime_chain,3,0.0,0.0,0.0,-8.666666666666666,-9.0,-8.0,0.6764705882352942,0.5084258404811939,0.8086854867354143,0.0,0.0,7.333333333333333,-4.666666666666667,-11.333333333333334,1.0,62.0,0.0,0.0,0.0,0.0,0.2708333333333333,22.0,10.333333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Losses over-index on PRIME turns; reduce over-priming in trailing states and shift budget to SEARCH/CARPET opportunities. | Transition `prime->prime` is loss-heavier (gap 0.271); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:293e22a8,opening_family=prime_chain",segment,prime_heavy,map:293e22a8,prime_chain,3,0.3333333333333333,0.0,1.0,-14.333333333333334,-24.0,5.0,0.4166666666666667,0.28849459734577015,0.5571891778463536,0.0,0.6666666666666666,-4.0,-2.0,-18.0,1.0,10.0,1.0,58.0,1.0,58.0,0.13749999999999998,22.666666666666668,22.666666666666668,1.0,15.333333333333334,0.0,8.0,1.0,0.23157894736842105,0.23157894736842105,0.23157894736842105,Search conversion is materially worse in losses; tighten belief threshold for SEARCH and raise fallback value floor before committing. | Early phase collapses in losses (mean delta change -4.00); tighten opening move safety and reduce high-variance branches in first third.
"segment:opponent_archetype=prime_heavy,map_seed=map:78cbca98,opening_family=prime_chain",segment,prime_heavy,map:78cbca98,prime_chain,3,0.0,0.0,0.0,-10.333333333333334,-12.0,-9.0,0.42105263157894735,0.2785227481181953,0.5780792938687267,0.0,0.0,-5.333333333333333,-4.666666666666667,-0.3333333333333333,1.0,22.0,1.0,34.0,0.3333333333333333,46.0,0.18333333333333332,21.0,48.333333333333336,0.6666666666666666,21.0,1.0,5.0,1.0,0.0,0.0,0.0,Losses over-index on PRIME turns; reduce over-priming in trailing states and shift budget to SEARCH/CARPET opportunities. | Early phase collapses in losses (mean delta change -5.33); tighten opening move safety and reduce high-variance branches in first third. | Transition `prime->prime` is loss-heavier (gap 0.183); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:32c003b7,opening_family=prime_chain",segment,prime_heavy,map:32c003b7,prime_chain,3,0.0,0.0,0.0,-15.666666666666666,-27.0,-5.0,0.6388888888888888,0.4757478039083198,0.7752461320781867,0.0,0.6666666666666666,-0.3333333333333333,-8.666666666666666,-6.666666666666667,1.0,44.0,1.0,49.0,0.6666666666666666,42.0,0.2125,24.0,40.333333333333336,0.6666666666666666,31.666666666666668,1.0,15.0,1.0,0.0,0.0,0.0,Losses over-index on PRIME turns; reduce over-priming in trailing states and shift budget to SEARCH/CARPET opportunities. | Transition `prime->prime` is loss-heavier (gap 0.212); revisit policy thresholds governing this move switch.
"segment:opponent_archetype=prime_heavy,map_seed=map:d256afbc,opening_family=prime_chain",segment,prime_heavy,map:d256afbc,prime_chain,3,0.0,0.0,0.0,-15.666666666666666,-23.0,-9.0,0.5277777777777778,0.3700567162693947,0.6801420709279067,0.0,0.6666666666666666,-1.0,-5.666666666666667,-9.0,1.0,57.0,1.0,61.0,0.6666666666666666,54.5,0.14583333333333334,23.333333333333332,34.333333333333336,0.3333333333333333,25.333333333333332,0.6666666666666666,12.666666666666666,0.5,0.0,0.0,0.0,Losses over-index on PRIME turns; reduce over-priming in trailing states and shift budget to SEARCH/CARPET opportunities. | Transition `plain->prime` is loss-heavier (gap 0.146); revisit policy thresholds governing this move switch.
